#{"t_start": 1789608415.906354, "env_id": "None"}
r,l,t
102.9,21,2.161875
118.4,17,2.163694
103.0,21,2.165707
73.2,18,2.167489
117.6,24,2.169745
87.8,22,2.17181
102.5,24,2.17405
88.7,13,2.17529
71.9,30,2.178029
118.6,14,2.179421
87.6,24,2.181657
118.2,18,2.183406
72.5,25,2.185818
103.4,16,2.187355
103.3,17,2.188944
102.5,25,2.191206
117.8,22,2.193185
103.0,20,2.195093
102.7,23,2.19724
72.7,23,2.199433
103.5,15,2.200878
103.3,17,2.202447
72.1,30,2.205158
88.1,20,2.207029
88.6,14,2.208291
72.5,27,2.210746
103.5,15,2.212094
73.0,20,2.2139
102.5,25,2.216204
102.8,21,2.21809
103.4,17,2.219642
102.4,25,2.221875
102.5,24,2.224239
72.9,21,2.22627
88.0,20,2.228209
103.3,17,2.229849
72.8,21,2.231797
118.4,16,2.233257
103.3,17,2.234797
118.4,16,2.236221
57.8,22,2.238181
72.5,25,2.240404
88.6,14,2.241656
88.2,18,2.243271
103.0,19,2.244959
103.4,16,2.246384
103.4,16,2.247815
103.6,14,2.24906
118.3,17,2.250581
118.1,18,2.252176
73.3,17,2.253684
101.9,29,2.256245
88.0,20,2.258034
118.2,17,2.259552
87.6,23,2.261582
103.2,19,2.26327
87.9,21,2.265153
103.1,19,2.266861
56.5,34,2.269863
88.2,18,2.271463
103.1,19,2.273147
102.4,26,2.27544
72.3,27,2.277828
87.7,23,2.279855
73.0,20,2.281623
103.1,19,2.283314
88.2,18,2.284919
102.6,23,2.286963
103.2,17,2.288477
88.0,20,2.290238
133.2,18,2.291828
102.9,21,2.293686
103.1,19,2.29536
87.7,23,2.297382
73.2,18,2.495891
87.9,21,2.49788
103.3,16,2.499377
88.7,13,2.500559
103.6,13,2.501775
87.6,25,2.504025
103.5,15,2.505409
88.0,20,2.507219
103.2,19,2.508958
118.2,18,2.510638
103.4,16,2.512297
133.3,17,2.513927
103.6,14,2.515219
42.4,27,2.517851
133.6,14,2.519195
102.6,24,2.521442
103.7,13,2.522655
88.1,19,2.524389
103.4,15,2.525762
72.8,22,2.527802
103.2,19,2.529508
102.5,25,2.531926
103.2,18,2.533707
103.6,14,2.535079
103.3,17,2.536813
102.9,21,2.538752
87.5,24,2.54096
133.7,13,2.542143
72.4,27,2.5446
103.3,17,2.546142
118.7,13,2.547336
103.9,11,2.548346
87.9,21,2.550248
103.5,15,2.551598
88.1,19,2.55343
88.1,19,2.55521
73.3,17,2.556813
133.8,12,2.557951
87.7,23,2.560137
72.6,24,2.562473
