#{"t_start": 1789608415.906354, "env_id": "None"}
r,l,t
118.8,12,8.733336
103.8,12,8.734579
118.9,11,8.735624
104.0,10,8.736574
118.9,11,8.737588
118.3,17,8.739295
103.9,11,8.740338
118.7,13,8.741557
103.5,16,8.743134
104.0,10,8.744087
118.5,15,8.745448
104.0,10,8.746371
103.6,14,8.747644
103.9,11,8.748635
118.9,11,8.749725
118.8,12,8.750951
103.7,13,8.752181
103.9,11,8.753194
118.7,13,8.75444
104.0,10,8.755397
103.7,13,8.75658
103.9,11,8.757604
103.9,11,8.758636
103.9,11,8.75967
118.6,15,8.761029
118.7,13,8.762328
103.5,15,8.763806
118.7,13,8.765027
118.7,13,8.76635
104.0,10,8.767319
118.9,11,8.768362
103.7,13,8.769563
103.5,15,8.770987
104.0,10,8.771921
103.7,13,8.773109
103.8,12,8.774263
103.9,11,8.77528
103.8,12,8.776404
133.6,14,8.777687
118.8,12,8.778782
103.6,14,8.780072
104.0,10,8.780976
88.7,13,8.78216
103.1,19,8.783908
103.6,14,8.785172
118.3,17,8.786783
118.5,15,8.788199
103.8,12,8.789347
104.0,10,8.790271
103.6,14,8.791523
103.8,12,8.792601
103.4,16,8.794049
118.9,11,8.795021
103.3,16,8.796461
103.9,11,8.797443
103.8,12,8.798509
103.3,16,8.799937
118.6,14,8.801192
103.9,11,8.802174
103.4,16,8.803727
118.8,12,8.804854
103.8,12,8.805965
118.7,13,8.807165
104.0,10,8.808092
103.9,11,8.809098
103.9,11,8.810131
103.9,11,8.811128
103.8,12,8.812221
103.7,13,8.813395
118.8,12,8.814485
103.9,11,8.815487
118.9,11,8.816487
118.9,11,8.817488
104.0,10,8.818395
103.3,17,8.819926
118.2,18,8.821541
103.9,11,8.822545
103.9,11,8.823544
103.8,12,8.824647
104.0,10,8.825557
103.3,17,8.827084
103.8,12,8.828178
103.9,11,8.829175
103.8,12,8.830256
104.0,10,8.831165
118.4,16,8.832613
133.6,14,8.833884
103.8,12,8.834966
118.5,15,8.836311
103.7,13,8.837485
103.8,12,8.838573
104.0,10,8.83948
103.6,14,8.840747
118.1,19,8.842453
104.0,10,8.843361
103.9,11,8.844355
103.0,18,8.845971
118.5,15,8.847322
118.8,12,8.848405
118.9,11,8.849396
104.0,10,8.850309
103.8,12,8.851398
104.0,10,8.852313
103.1,18,8.853924
118.9,11,8.854912
118.9,11,8.855902
103.9,11,8.856892
104.0,10,8.857793
103.2,18,8.859416
118.8,12,9.056153
103.8,12,9.057311
104.0,10,9.058242
104.0,10,9.05917
103.9,11,9.060187
103.9,11,9.061193
103.9,11,9.062207
103.8,12,9.063306
118.7,13,9.064601
103.7,13,9.065834
118.1,18,9.067465
118.7,13,9.068643
118.4,16,9.070083
103.3,17,9.071618
118.5,15,9.072961
103.8,12,9.074073
104.0,10,9.075126
103.8,12,9.07629
118.8,12,9.077517
103.7,13,9.078757
104.0,10,9.079737
104.0,10,9.080665
103.9,11,9.081694
104.0,10,9.082623
104.0,10,9.083559
104.0,10,9.084471
118.8,12,9.085594
103.3,17,9.087157
103.3,17,9.088697
133.8,12,9.089829
103.5,15,9.091288
118.8,12,9.092413
103.3,17,9.093989
103.7,13,9.09527
118.9,11,9.096362
103.7,13,9.097594
103.7,13,9.098796
103.4,16,9.100304
103.9,11,9.101324
103.8,12,9.102413
103.4,16,9.10388
104.0,10,9.104788
118.6,14,9.106065
104.0,10,9.10698
118.4,16,9.108438
104.0,10,9.109354
103.5,16,9.110848
103.6,14,9.112105
104.0,10,9.113033
103.8,12,9.11412
104.0,10,9.115047
103.9,11,9.116063
103.9,11,9.117057
104.0,10,9.117976
118.7,13,9.119173
103.8,12,9.120257
103.7,13,9.121441
104.0,10,9.122344
103.9,11,9.123368
118.5,15,9.124711
103.5,14,9.12598
104.0,10,9.126891
104.0,10,9.1278
118.9,11,9.128804
103.6,14,9.130059
104.0,10,9.130981
118.8,12,9.132208
118.8,12,9.133348
118.5,15,9.134738
103.9,11,9.135757
103.9,11,9.136749
104.0,10,9.137665
104.0,10,9.138578
118.3,17,9.140094
104.0,10,9.141021
118.8,12,9.142088
118.7,13,9.14329
104.0,10,9.144324
104.0,10,9.145238
118.7,13,9.146435
103.8,12,9.147535
103.8,12,9.14862
118.1,17,9.150191
118.9,11,9.15119
118.4,16,9.152779
103.6,14,9.154129
103.7,13,9.15536
118.4,16,9.156818
104.0,10,9.157768
103.7,13,9.158969
118.7,14,9.16043
118.4,16,9.161965
103.8,12,9.163121
118.6,14,9.16441
103.9,11,9.165446
118.6,14,9.16691
118.7,13,9.168127
103.2,18,9.169766
103.8,12,9.170844
103.8,12,9.171955
104.0,10,9.172858
104.0,10,9.173784
118.8,12,9.174882
88.7,13,9.176066
103.9,11,9.177072
103.8,12,9.178141
104.0,10,9.179033
103.8,12,9.180111
118.8,12,9.181191
118.9,11,9.182191
103.9,11,9.183195
104.0,10,9.1841
118.6,14,9.185345
103.2,17,9.186853
104.0,10,9.187746
103.6,14,9.189008
118.5,15,9.190352
118.8,13,9.191517
103.9,11,9.1925
103.9,11,9.193499
118.9,11,9.194481
118.6,14,9.195725
103.6,14,9.196964
103.9,11,9.197945
118.6,14,9.199205
103.8,12,9.200283
103.7,13,9.201442
103.8,13,9.202603
104.0,10,9.203503
103.7,13,9.204665
104.0,10,9.20556
118.7,13,9.20672
118.8,12,9.207807
103.9,11,9.208789
103.6,14,9.210034
118.8,12,9.211106
104.0,10,9.212008
104.0,10,9.212906
103.7,13,9.214063
133.7,13,9.215215
118.8,12,9.216299
104.0,10,9.217191
104.0,10,9.218087
104.0,10,9.218983
104.0,10,9.219876
103.5,15,9.221209
103.8,12,9.22228
103.9,11,9.22327
118.9,11,9.224257
133.4,17,9.225764
104.0,10,9.226666
118.8,12,9.22774
118.6,14,9.228993
103.7,13,9.230156
103.5,14,9.231411
104.0,10,9.232311
103.9,11,9.233305
118.7,13,9.234464
103.9,11,9.235448
104.0,10,9.236339
103.9,11,9.237319
104.0,10,9.238209
103.4,15,9.239542
103.7,13,9.240705
118.7,13,9.241865
103.5,15,9.243213
118.9,11,9.439795
103.8,12,9.440927
118.4,16,9.442374
118.6,14,9.443636
118.6,14,9.444892
118.6,15,9.446232
104.0,10,9.447129
118.7,13,9.44829
104.0,10,9.449189
118.8,12,9.450295
118.6,14,9.451764
103.9,11,9.45284
104.0,10,9.453809
103.2,16,9.455284
118.8,12,9.456562
104.0,10,9.457532
118.9,11,9.458592
104.0,10,9.459553
118.9,11,9.46056
103.7,13,9.461779
103.5,15,9.463161
118.7,13,9.464473
118.6,14,9.465809
118.5,15,9.467208
103.8,12,9.468323
118.5,15,9.469705
118.5,15,9.471066
103.8,13,9.472281
118.9,11,9.473288
118.5,15,9.474673
103.1,19,9.476419
103.8,12,9.477507
103.5,15,9.478863
133.8,13,9.480071
103.7,13,9.481252
104.0,10,9.482164
118.8,12,9.483277
103.7,13,9.484571
103.9,11,9.485599
103.9,11,9.486626
118.8,12,9.487738
103.5,15,9.489087
118.8,12,9.490182
118.7,13,9.49137
103.4,17,9.492995
104.0,10,9.493929
104.0,10,9.494846
104.0,10,9.495804
103.6,14,9.497079
118.7,13,9.498283
104.0,10,9.499351
133.8,12,9.500509
103.6,14,9.501823
103.8,12,9.502927
103.6,14,9.504339
118.9,11,9.50538
103.3,16,9.506858
118.4,16,9.508346
118.7,13,9.509526
104.0,10,9.510454
118.8,12,9.511542
103.6,14,9.512804
118.8,12,9.513885
104.0,10,9.514798
118.3,16,9.516287
103.7,13,9.517456
103.8,12,9.518554
118.8,12,9.519646
118.5,16,9.521079
118.8,12,9.522169
103.7,13,9.523346
133.2,18,9.525043
103.5,15,9.526403
104.0,10,9.52731
118.8,12,9.528417
118.5,15,9.529771
118.8,12,9.530844
118.7,13,9.532131
118.6,14,9.533528
118.7,13,9.534832
104.0,10,9.535868
118.9,12,9.537035
104.0,10,9.537984
118.6,14,9.539264
104.0,10,9.540303
118.5,15,9.541716
103.9,11,9.54275
103.7,13,9.54398
118.8,12,9.545055
103.8,12,9.546152
118.7,13,9.547322
118.9,11,9.548325
103.3,17,9.549852
118.9,11,9.550993
103.8,12,9.552136
104.0,10,9.553086
103.8,12,9.554186
103.5,15,9.555554
133.2,18,9.557183
118.8,12,9.558275
118.8,12,9.559368
118.2,18,9.560998
133.5,15,9.562354
133.6,14,9.563619
118.4,16,9.565066
103.9,11,9.566069
118.5,15,9.567449
118.5,15,9.568812
103.6,14,9.570086
118.9,11,9.571087
118.7,13,9.572263
118.7,13,9.573442
104.0,10,9.57436
104.0,10,9.575274
118.9,11,9.576273
133.3,17,9.577805
103.6,14,9.579076
118.7,13,9.58025
118.7,13,9.581425
104.0,10,9.582335
118.6,14,9.583605
88.3,18,9.585228
104.0,10,9.586139
103.9,11,9.587136
103.9,11,9.58813
103.8,12,9.589216
103.6,14,9.590484
103.3,17,9.592023
118.4,16,9.593465
118.4,16,9.594899
104.0,10,9.595804
103.5,15,9.597149
103.0,19,9.59885
103.4,16,9.600294
103.8,12,9.601378
103.9,11,9.602373
103.9,12,9.603461
118.1,19,9.605162
103.8,12,9.606257
103.8,12,9.607346
118.8,12,9.608426
118.5,16,9.609869
133.6,14,9.611134
103.9,11,9.612134
118.8,12,9.61322
118.3,17,9.614748
103.9,11,9.615759
118.8,12,9.616838
104.0,10,9.617749
118.8,12,9.618829
104.0,10,9.619734
104.0,10,9.620644
104.0,10,9.621548
103.6,14,9.622817
133.7,13,9.623993
118.7,13,9.625168
104.0,10,9.626077
118.3,17,9.627614
118.8,12,9.826707
103.9,11,9.827813
104.0,10,9.82875
118.5,15,9.830146
118.7,13,9.831345
104.0,10,9.832269
118.6,14,9.833546
118.9,11,9.834558
103.6,14,9.835851
118.8,12,9.837
103.8,12,9.838185
104.0,10,9.839113
118.5,15,9.840504
103.5,15,9.841875
104.0,10,9.842805
118.5,16,9.844272
118.5,15,9.845648
104.0,10,9.846571
104.0,10,9.847484
103.9,11,9.848528
104.0,10,9.84945
103.5,15,9.850827
103.9,11,9.851847
118.7,13,9.853031
118.7,13,9.854244
118.5,15,9.855603
104.0,10,9.856547
133.8,12,9.857652
118.8,12,9.858923
103.6,14,9.860276
104.0,10,9.861201
118.6,14,9.86248
103.2,17,9.864009
103.5,14,9.865262
104.0,10,9.866227
118.3,17,9.867754
118.9,11,9.868762
104.0,10,9.869673
118.8,12,9.87075
118.8,12,9.871839
103.9,11,9.872839
103.9,11,9.873905
103.6,14,9.87533
103.6,14,9.876671
103.1,19,9.878482
118.7,13,9.879705
104.0,10,9.880648
118.9,11,9.881669
88.3,17,9.883266
103.9,11,9.884317
118.3,17,9.885901
118.7,13,9.887101
103.7,13,9.888311
104.0,10,9.88923
104.0,10,9.890312
103.7,13,9.891642
103.9,11,9.892733
103.4,16,9.894273
104.0,10,9.895226
103.8,12,9.89637
104.0,10,9.897315
103.4,16,9.898841
118.4,16,9.900384
104.0,10,9.90132
104.0,10,9.902343
118.6,14,9.903662
104.0,10,9.904612
103.3,17,9.906151
118.8,12,9.907232
104.0,10,9.908134
104.0,10,9.909035
118.9,11,9.910071
104.0,10,9.910992
118.6,14,9.912265
103.1,19,9.913953
103.8,12,9.915032
118.5,15,9.916413
104.0,10,9.9173
103.8,12,9.918386
103.8,12,9.919454
104.0,10,9.920368
133.8,12,9.921442
104.0,10,9.922356
118.3,17,9.92389
104.0,10,9.924787
118.5,15,9.926126
118.7,13,9.927302
118.9,11,9.928273
133.8,12,9.929347
118.8,12,9.930428
103.8,12,9.931481
104.0,10,9.932387
118.9,11,9.933389
103.5,15,9.93475
118.8,12,9.93584
104.0,10,9.936761
118.4,16,9.938176
104.0,10,9.939071
118.6,14,9.940317
118.7,13,9.941476
118.4,16,9.94291
118.7,13,9.944075
103.9,11,9.945067
102.7,23,9.947097
103.4,16,9.948521
118.5,15,9.949865
103.4,16,9.951291
103.6,14,9.952539
104.0,10,9.953433
118.4,16,9.954851
118.9,11,9.955829
104.0,10,9.956723
103.9,11,9.957707
118.8,12,9.958777
103.8,12,9.959876
118.9,11,9.960855
103.9,11,9.961828
104.0,10,9.962717
118.9,11,9.963686
104.0,10,9.964578
118.6,14,9.965805
118.8,12,9.966871
103.9,11,9.967843
103.4,16,9.96925
118.0,20,9.971012
103.9,11,9.971984
103.8,12,9.973042
103.9,11,9.974022
104.0,10,9.974905
118.6,14,9.976137
133.8,12,9.977201
103.9,11,9.978171
104.0,10,9.979052
103.1,19,9.980721
103.9,11,9.981699
104.0,10,9.982588
118.5,15,9.983919
103.8,12,9.984976
118.8,12,9.986045
103.7,13,9.987185
118.4,16,9.988594
103.9,11,9.98957
88.5,15,9.990889
103.2,18,9.992469
118.9,11,9.993447
118.7,13,9.994592
118.8,12,9.995665
103.6,14,9.996898
103.8,12,9.99795
118.9,11,9.998926
118.8,12,9.999991
103.5,15,10.001314
103.8,12,10.002376
104.0,10,10.003264
104.0,10,10.004157
103.9,11,10.005131
103.5,15,10.006456
103.8,12,10.007521
103.6,15,10.008846
103.7,13,10.009996
103.9,11,10.010985
104.0,10,10.011877
118.9,11,10.012849
118.9,11,10.21096
118.8,12,10.212087
103.7,13,10.21329
103.5,15,10.214668
118.8,12,10.215771
118.7,13,10.216955
118.5,15,10.218325
118.3,17,10.219871
118.9,12,10.220973
118.8,12,10.222066
118.5,15,10.223429
118.7,13,10.224601
118.7,13,10.225787
104.0,10,10.226746
118.8,12,10.227895
118.5,15,10.229285
118.6,14,10.230572
118.9,11,10.231586
118.7,13,10.232909
104.0,10,10.23387
104.0,10,10.234794
118.6,14,10.236074
118.8,12,10.237154
103.8,12,10.238253
103.9,11,10.239246
118.6,14,10.240504
104.0,10,10.241416
103.8,12,10.242496
133.3,17,10.24403
118.4,16,10.24545
103.5,14,10.246702
103.6,14,10.247959
103.8,12,10.249036
118.8,12,10.250145
118.8,12,10.251215
118.6,14,10.252716
104.0,10,10.253707
104.0,10,10.254656
118.6,14,10.256001
103.8,12,10.257098
104.0,10,10.258026
104.0,10,10.258938
118.7,13,10.260162
118.6,14,10.261437
104.0,10,10.262356
104.0,10,10.263307
118.5,15,10.264683
118.9,11,10.265717
103.9,11,10.266747
133.8,12,10.26787
118.7,13,10.269054
104.0,10,10.270008
118.2,18,10.27165
118.4,15,10.273031
104.0,10,10.274005
103.8,12,10.275112
118.3,17,10.276676
118.9,11,10.277698
118.4,16,10.279143
133.3,17,10.280915
103.8,12,10.282094
118.5,15,10.283549
118.6,14,10.284848
118.3,17,10.286412
103.9,11,10.287425
118.9,11,10.288486
118.9,11,10.289486
104.0,10,10.290438
103.9,11,10.291455
118.7,13,10.292742
103.4,16,10.294258
103.5,15,10.295635
118.8,12,10.29677
103.3,16,10.29825
103.8,13,10.29945
118.9,11,10.300613
118.9,11,10.301672
118.7,13,10.302874
103.9,11,10.303903
104.0,10,10.304816
118.9,12,10.305923
118.5,15,10.307284
103.8,12,10.308476
118.9,11,10.309525
118.7,13,10.310743
118.8,12,10.311898
118.7,13,10.313112
118.6,14,10.31441
103.1,18,10.316058
104.0,10,10.316984
118.3,17,10.318547
118.9,11,10.319545
118.4,16,10.321196
118.9,11,10.322266
118.2,18,10.324009
118.3,17,10.325638
103.9,11,10.326729
103.9,11,10.327745
103.9,11,10.328757
118.5,15,10.330117
104.0,10,10.331025
118.9,11,10.332025
118.9,11,10.333044
118.7,13,10.334234
103.9,11,10.33523
103.5,15,10.336589
118.9,11,10.337586
118.5,15,10.338932
103.4,16,10.340378
104.0,10,10.34128
118.8,12,10.342363
103.7,13,10.34357
103.8,12,10.344663
118.7,13,10.345838
103.9,11,10.34683
118.7,13,10.348004
118.8,12,10.349093
118.7,13,10.350261
104.0,10,10.351164
118.7,13,10.352344
104.0,10,10.353256
118.5,15,10.354605
104.0,10,10.355511
118.9,11,10.356503
103.2,18,10.358128
103.7,13,10.359299
118.5,15,10.360647
103.9,11,10.361646
118.4,16,10.36309
133.5,15,10.364437
104.0,10,10.365344
118.7,13,10.366521
103.8,12,10.367613
103.9,11,10.368611
118.8,12,10.369694
118.8,12,10.370774
104.0,10,10.371684
118.5,15,10.373047
104.0,10,10.373957
118.4,16,10.375396
133.6,14,10.376654
103.8,12,10.37774
103.7,13,10.378918
103.8,12,10.380002
103.9,11,10.380996
103.9,11,10.381991
118.7,13,10.383171
118.8,12,10.384255
118.4,16,10.385687
118.7,13,10.386871
118.8,12,10.387954
103.6,14,10.389215
103.9,11,10.390214
103.9,11,10.391208
118.7,13,10.392387
104.0,10,10.393291
118.7,13,10.394457
118.7,14,10.39572
103.6,14,10.39699
103.8,12,10.39807
104.0,10,10.398988
118.7,13,10.595676
104.0,10,10.596637
118.0,19,10.598388
118.4,16,10.599863
104.0,10,10.600798
104.0,10,10.601723
118.7,13,10.602914
103.5,15,10.60429
118.4,16,10.605758
103.7,13,10.606961
103.8,12,10.608064
104.0,10,10.608998
104.0,10,10.609919
103.8,12,10.611055
104.0,10,10.612148
104.0,10,10.613119
104.0,10,10.614105
118.4,16,10.615564
118.9,11,10.616604
104.0,10,10.617521
118.7,13,10.618726
104.0,10,10.619654
118.9,11,10.620672
118.6,14,10.621954
103.9,11,10.622957
118.2,18,10.624593
103.8,12,10.625678
118.9,11,10.626682
103.7,13,10.627859
103.5,15,10.629213
118.5,15,10.630587
103.9,11,10.631591
118.9,11,10.632725
118.5,15,10.63419
103.9,11,10.635215
103.8,12,10.63634
104.0,10,10.637243
104.0,10,10.638169
104.0,10,10.639069
103.9,11,10.640132
118.6,14,10.641493
118.3,17,10.643086
103.6,14,10.644441
103.7,13,10.645653
104.0,10,10.646599
103.9,11,10.647624
118.8,12,10.648791
103.7,13,10.650023
118.2,18,10.651654
104.0,10,10.652573
118.8,12,10.653646
103.6,14,10.654917
118.8,12,10.656005
118.7,13,10.657184
118.3,17,10.658702
118.3,17,10.660308
103.9,11,10.661355
103.9,11,10.662413
118.6,14,10.66372
118.3,17,10.665315
118.8,12,10.666443
118.6,14,10.66776
118.8,12,10.668868
103.9,11,10.669885
118.5,15,10.671265
118.7,13,10.672485
118.8,12,10.673591
104.0,10,10.674527
103.8,12,10.675623
104.0,10,10.676641
104.0,10,10.677604
103.9,11,10.678613
118.3,17,10.680188
118.9,11,10.681229
118.7,13,10.682392
118.4,16,10.68387
104.0,10,10.684798
118.9,11,10.685799
103.7,13,10.686972
118.9,11,10.687974
118.9,11,10.688975
118.4,16,10.69043
118.4,16,10.691867
118.9,11,10.692975
103.8,12,10.694128
103.1,19,10.695887
104.0,10,10.696916
118.6,14,10.698248
104.0,10,10.699166
103.8,12,10.700362
118.3,17,10.701943
118.9,11,10.702957
118.7,13,10.704131
88.7,13,10.705291
103.7,13,10.70649
103.9,11,10.707471
103.4,16,10.708961
118.9,11,10.709963
103.6,14,10.711337
118.7,13,10.712583
133.1,19,10.714369
118.8,12,10.715467
103.9,11,10.716491
104.0,10,10.717425
104.0,10,10.718346
103.6,14,10.719626
103.7,13,10.720808
104.0,10,10.721718
104.0,10,10.722644
118.6,14,10.723917
103.4,16,10.725362
104.0,10,10.726295
104.0,10,10.727208
103.5,15,10.728569
104.0,10,10.729481
118.9,11,10.730487
103.7,13,10.731659
104.0,10,10.732572
118.1,18,10.734197
104.0,10,10.735109
103.6,14,10.736373
118.7,13,10.737554
104.0,10,10.738466
103.9,11,10.739466
118.6,14,10.740744
118.7,13,10.741928
103.8,12,10.743022
103.9,11,10.744024
103.8,12,10.745115
104.0,10,10.74603
118.3,17,10.74756
104.0,10,10.748478
103.8,12,10.749578
118.8,12,10.750667
118.7,13,10.751846
118.5,15,10.7532
118.5,15,10.754554
104.0,10,10.755466
118.7,13,10.756643
103.6,14,10.75791
103.7,13,10.759093
104.0,10,10.760006
118.7,13,10.761188
118.8,12,10.762276
118.8,12,10.763357
103.9,11,10.764356
118.5,15,10.765708
118.7,13,10.766895
104.0,10,10.767811
118.6,14,10.769079
118.8,12,10.770169
104.0,10,10.771094
104.0,10,10.772005
103.2,18,10.773634
103.7,13,10.774814
118.3,17,10.776346
118.7,13,10.777522
118.5,15,10.77889
103.4,16,10.780335
118.7,13,10.781511
118.9,11,10.782512
104.0,10,10.783432
118.9,11,10.979506
104.0,10,10.980452
118.9,11,10.981469
103.9,11,10.982477
118.8,12,10.983567
133.4,16,10.985011
118.5,15,10.986365
103.6,14,10.987638
118.8,12,10.988727
104.0,10,10.98963
118.7,13,10.990801
133.4,16,10.992235
104.0,10,10.993141
118.3,17,10.994661
104.0,10,10.995571
104.0,10,10.996483
118.6,14,10.997768
104.0,10,10.998822
103.9,11,10.999876
118.8,12,11.001027
118.8,12,11.002105
118.8,12,11.00338
103.8,12,11.004562
103.9,11,11.005614
104.0,10,11.006583
104.0,10,11.007503
118.7,13,11.00872
103.9,11,11.009731
118.4,16,11.011276
104.0,10,11.012226
118.3,17,11.013787
118.9,11,11.014831
118.4,16,11.016279
118.9,11,11.017288
118.3,17,11.018852
104.0,10,11.019752
104.0,10,11.020665
104.0,10,11.021557
118.7,13,11.022843
118.9,11,11.023889
118.1,19,11.025657
118.9,11,11.026724
118.9,11,11.027737
103.6,14,11.029019
104.0,10,11.029948
118.9,11,11.031044
118.8,12,11.03217
118.7,13,11.033397
118.8,12,11.034577
118.9,11,11.035622
118.6,14,11.036914
118.7,13,11.038105
118.9,11,11.039132
118.8,12,11.040227
104.0,10,11.041164
104.0,10,11.042082
104.0,10,11.043019
118.9,11,11.04402
103.7,13,11.045198
104.0,10,11.046115
118.6,14,11.047392
118.4,16,11.048841
118.8,12,11.049943
118.8,12,11.051114
118.4,16,11.052579
104.0,10,11.053481
104.0,10,11.054404
118.9,11,11.05539
118.6,14,11.056647
118.8,12,11.057725
104.0,10,11.058634
118.5,15,11.059978
118.7,13,11.06113
118.7,13,11.062294
118.8,12,11.063626
103.9,11,11.064689
118.6,14,11.066041
118.9,11,11.067218
103.8,12,11.068343
103.9,11,11.069381
118.8,12,11.070474
118.7,13,11.071654
104.0,10,11.072563
103.9,11,11.073576
118.2,18,11.075326
103.3,17,11.076893
118.8,12,11.078019
103.5,15,11.079407
104.0,10,11.080333
118.5,15,11.081703
104.0,10,11.082795
118.9,11,11.083899
118.4,16,11.085412
104.0,10,11.086351
118.8,12,11.087554
103.3,17,11.089141
104.0,10,11.09007
103.9,11,11.091114
118.7,13,11.092299
104.0,10,11.093225
103.6,14,11.094523
118.8,12,11.095634
103.9,11,11.096671
118.6,14,11.098143
104.0,10,11.099129
118.7,13,11.100364
118.8,12,11.101458
118.4,16,11.102907
103.6,14,11.104171
118.8,12,11.10526
118.6,14,11.106521
118.7,13,11.107718
103.6,14,11.108982
103.5,15,11.110395
103.7,13,11.111578
118.6,14,11.112845
118.3,17,11.114368
118.4,16,11.115819
118.1,19,11.117534
118.3,17,11.119072
104.0,10,11.119985
118.4,16,11.121429
118.7,13,11.122613
118.9,11,11.123617
118.9,11,11.124628
104.0,10,11.125552
104.0,10,11.126455
118.4,16,11.12791
103.9,11,11.128908
103.9,11,11.129908
104.0,10,11.13082
103.9,11,11.131821
104.0,10,11.132729
118.6,14,11.134
104.0,10,11.13491
104.0,10,11.135813
103.7,13,11.136991
118.9,11,11.13799
118.8,12,11.139076
118.4,16,11.14052
118.8,12,11.141606
118.2,18,11.143212
103.9,11,11.14421
104.0,10,11.145112
118.8,12,11.146199
133.8,12,11.147277
118.6,14,11.148543
118.8,12,11.149634
103.8,12,11.150716
118.7,13,11.151884
104.0,10,11.152791
118.3,17,11.154313
118.4,16,11.155748
118.5,15,11.157099
118.6,14,11.158367
118.6,14,11.15962
118.5,15,11.160965
118.5,15,11.162312
118.3,17,11.163839
118.5,15,11.165192
118.7,13,11.166369
133.6,14,11.167641
118.4,16,11.363578
118.7,13,11.364818
104.0,10,11.365754
118.8,12,11.366862
103.9,11,11.367868
118.8,12,11.368967
118.3,17,11.370518
103.9,11,11.37155
103.7,13,11.37274
118.7,13,11.373924
118.9,11,11.37493
133.7,13,11.376121
118.4,16,11.377706
103.9,11,11.37877
103.6,14,11.380092
118.9,11,11.381087
118.8,12,11.382182
118.8,12,11.383256
118.8,12,11.384354
118.6,14,11.385615
118.3,17,11.387133
133.8,12,11.388228
103.2,18,11.389857
118.7,13,11.391188
118.5,15,11.392608
104.0,10,11.393522
104.0,10,11.39445
118.7,13,11.395616
118.3,17,11.397155
103.5,15,11.398526
118.8,12,11.399614
103.5,15,11.400983
118.7,13,11.402166
118.4,16,11.403576
118.8,12,11.40467
133.8,12,11.405745
118.8,12,11.406845
118.9,11,11.407827
118.6,14,11.409086
104.0,10,11.410021
104.0,10,11.410935
118.9,11,11.411922
104.0,10,11.412838
118.8,12,11.41391
118.7,13,11.415109
118.4,16,11.416563
104.0,10,11.417482
103.9,11,11.418582
118.8,12,11.419718
118.6,14,11.421047
118.8,12,11.422186
104.0,10,11.423102
133.8,12,11.424239
118.6,14,11.425514
103.9,11,11.426551
118.8,12,11.427657
104.0,10,11.428579
118.6,14,11.429867
118.9,11,11.430882
103.8,12,11.432004
118.4,16,11.433485
104.0,10,11.43441
118.5,15,11.435779
104.0,10,11.436703
118.7,13,11.437891
103.3,18,11.439666
118.7,13,11.440893
104.0,10,11.441832
104.0,10,11.442731
118.9,11,11.443719
118.6,14,11.44499
103.7,13,11.44618
118.5,15,11.447706
104.0,10,11.448658
104.0,10,11.449624
118.7,13,11.450857
118.6,14,11.452145
104.0,10,11.453037
118.6,14,11.454314
118.6,14,11.455572
118.8,12,11.456656
103.9,11,11.457674
103.9,11,11.458678
103.9,11,11.459678
104.0,10,11.46058
118.8,12,11.461642
103.6,14,11.46291
118.7,13,11.464067
104.0,10,11.464983
133.8,12,11.466066
118.9,11,11.467178
118.6,15,11.468627
103.3,17,11.470216
118.9,11,11.471312
118.6,14,11.472616
118.3,17,11.474159
104.0,10,11.475154
118.9,11,11.476183
118.8,12,11.477298
118.5,15,11.478653
118.6,14,11.479913
118.8,12,11.480979
118.7,13,11.482128
104.0,10,11.483036
118.5,14,11.484284
118.8,12,11.485352
103.3,17,11.486853
118.9,11,11.487838
118.7,13,11.489011
118.5,15,11.490344
104.0,10,11.491241
118.8,12,11.492308
118.5,15,11.493634
118.5,15,11.494969
118.7,13,11.496114
103.9,11,11.497101
104.0,10,11.497986
118.9,11,11.498963
118.7,13,11.500121
118.5,15,11.501446
118.7,13,11.502595
103.7,13,11.503745
118.9,11,11.504717
118.7,13,11.505861
118.7,13,11.507025
103.9,11,11.508
118.8,12,11.509064
118.9,11,11.510033
118.4,16,11.511435
118.7,13,11.512576
118.7,13,11.513729
118.6,14,11.514958
104.0,10,11.515844
118.8,12,11.516917
104.0,10,11.517798
118.6,14,11.519028
133.7,13,11.52018
118.7,13,11.521324
103.9,11,11.522296
104.0,10,11.523182
104.0,10,11.524059
118.6,14,11.525284
104.0,10,11.526182
103.9,11,11.527153
104.0,10,11.528039
118.7,13,11.529186
118.7,13,11.530335
118.8,12,11.531396
104.0,10,11.532283
118.8,12,11.533351
133.2,18,11.534937
133.7,13,11.536084
103.2,18,11.537665
118.8,12,11.538726
118.9,11,11.539696
118.7,13,11.540845
118.9,11,11.541813
118.6,14,11.543051
118.6,14,11.544282
118.6,14,11.545519
118.3,17,11.547012
104.0,10,11.547896
103.4,16,11.746055
104.0,10,11.747032
118.5,15,11.748405
118.9,11,11.749406
118.8,12,11.750489
104.0,10,11.751389
104.0,10,11.752299
118.6,14,11.753558
118.8,12,11.754643
133.7,13,11.755809
118.6,14,11.757064
118.7,13,11.758225
118.6,14,11.759482
118.9,11,11.760468
104.0,10,11.761369
118.8,12,11.762449
118.6,14,11.763701
118.4,16,11.76515
133.8,12,11.766348
104.0,10,11.767313
118.8,12,11.768445
118.7,13,11.769644
118.9,11,11.770658
118.8,12,11.771754
118.6,14,11.773028
118.6,14,11.774299
118.4,16,11.77584
